crash_date,traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month,parsed_datetime,date,time
01/01/2024 02:54:00 AM,5.0,6,5,4,6,3,4,1,2,1,4,WEATHER,2,2,0.0,0.0,0.0,0.0,0.0,2.0,2,2,1,01/01/2024,2024-01-01,02:54:00
01/03/2024 06:36:00 PM,7.0,3,5,4,6,3,3,3,2,1,4,FAILING TO REDUCE SPEED TO AVOID CRASH,2,2,0.0,0.0,0.0,0.0,0.0,3.0,18,4,1,01/03/2024,2024-01-03,18:36:00
01/04/2024 09:47:00 AM,5.0,3,2,3,5,3,3,3,2,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,9,5,1,01/04/2024,2024-01-04,09:47:00
01/04/2024 09:15:00 AM,7.0,3,2,6,5,3,3,3,2,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,9,5,1,01/04/2024,2024-01-04,09:15:00
01/06/2024 11:56:00 PM,5.0,6,5,4,4,3,4,3,2,1,4,FOLLOWING TOO CLOSELY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,23,7,1,01/06/2024,2024-01-06,23:56:00
01/04/2024 11:50:00 AM,3.0,3,2,6,1,3,3,3,3,1,4,UNABLE TO DETERMINE,2,5,1.0,0.0,1.0,0.0,0.0,1.0,11,5,1,01/04/2024,2024-01-04,11:50:00
01/09/2024 06:00:00 PM,5.0,6,5,8,4,3,5,3,2,1,4,IMPROPER BACKING,2,2,0.0,0.0,0.0,0.0,0.0,2.0,18,3,1,01/09/2024,2024-01-09,18:00:00
01/11/2024 09:25:00 AM,5.0,3,2,6,12,3,3,3,3,1,3,TURNING RIGHT ON RED,2,4,1.0,0.0,0.0,1.0,0.0,1.0,9,5,1,01/11/2024,2024-01-11,09:25:00
01/11/2024 06:29:00 PM,5.0,3,5,5,5,3,3,1,2,1,4,DISREGARDING TRAFFIC SIGNALS,2,2,0.0,0.0,0.0,0.0,0.0,2.0,18,5,1,01/11/2024,2024-01-11,18:29:00
01/11/2024 11:40:00 PM,3.0,3,5,8,4,3,3,3,2,1,2,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,23,5,1,01/11/2024,2024-01-11,23:40:00
01/10/2024 07:30:00 PM,7.0,4,5,5,7,3,4,3,2,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,19,4,1,01/10/2024,2024-01-10,19:30:00
01/13/2024 07:12:00 PM,5.0,6,5,3,6,3,5,3,2,0,2,FOLLOWING TOO CLOSELY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,19,7,1,01/13/2024,2024-01-13,19:12:00
01/06/2024 10:20:00 PM,5.0,3,5,4,6,3,3,3,2,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,22,7,1,01/06/2024,2024-01-06,22:20:00
01/16/2024 12:12:00 PM,5.0,3,2,6,6,3,3,3,3,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,12,3,1,01/16/2024,2024-01-16,12:12:00
01/12/2024 06:53:00 AM,5.0,6,5,6,4,3,5,3,3,1,4,WEATHER,2,3,1.0,0.0,0.0,0.0,1.0,1.0,6,6,1,01/12/2024,2024-01-12,06:53:00
01/03/2024 06:40:00 PM,5.0,2,6,7,14,3,4,3,2,1,4,IMPROPER BACKING,2,2,0.0,0.0,0.0,0.0,0.0,3.0,18,4,1,01/03/2024,2024-01-03,18:40:00
01/03/2024 03:20:00 PM,5.0,3,2,6,6,3,3,3,3,1,4,FAILING TO REDUCE SPEED TO AVOID CRASH,2,2,0.0,0.0,0.0,0.0,0.0,3.0,15,4,1,01/03/2024,2024-01-03,15:20:00
01/05/2024 10:37:00 PM,5.0,6,5,6,5,3,4,3,3,1,4,IMPROPER TURNING/NO SIGNAL,2,4,1.0,0.0,0.0,1.0,0.0,1.0,22,6,1,01/05/2024,2024-01-05,22:37:00
01/18/2024 07:26:00 PM,7.0,6,5,9,5,4,5,3,3,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,19,5,1,01/18/2024,2024-01-18,19:26:00
01/07/2024 05:41:00 PM,5.0,4,5,6,5,3,3,1,2,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,17,1,1,01/07/2024,2024-01-07,17:41:00
01/21/2024 09:40:00 PM,5.0,3,5,5,5,3,3,3,2,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,21,1,1,01/21/2024,2024-01-21,21:40:00
01/22/2024 08:47:00 AM,3.0,5,2,5,10,3,5,3,2,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,2,0.0,0.0,0.0,0.0,0.0,4.0,8,2,1,01/22/2024,2024-01-22,08:47:00
01/23/2024 04:43:00 AM,5.0,5,6,5,5,3,4,3,3,1,4,DISREGARDING TRAFFIC SIGNALS,2,2,0.0,0.0,0.0,0.0,0.0,2.0,4,3,1,01/23/2024,2024-01-23,04:43:00
01/11/2024 06:05:00 PM,5.0,3,5,6,3,3,3,3,3,1,4,UNABLE TO DETERMINE,2,4,2.0,0.0,0.0,2.0,0.0,1.0,18,5,1,01/11/2024,2024-01-11,18:05:00
01/31/2024 12:15:00 PM,5.0,3,2,6,3,3,3,3,2,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,12,4,1,01/31/2024,2024-01-31,12:15:00
01/18/2024 06:02:00 PM,3.0,3,5,5,1,3,3,3,3,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,18,5,1,01/18/2024,2024-01-18,18:02:00
02/03/2024 08:45:00 AM,5.0,3,2,5,5,3,3,3,3,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,8,7,2,02/03/2024,2024-02-03,08:45:00
01/22/2024 01:05:00 PM,5.0,3,2,6,6,3,4,3,2,1,4,IMPROPER OVERTAKING/PASSING,2,2,0.0,0.0,0.0,0.0,0.0,2.0,13,2,1,01/22/2024,2024-01-22,13:05:00
02/04/2024 12:40:00 PM,7.0,3,2,5,5,3,3,3,3,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,3,1.0,0.0,0.0,0.0,1.0,1.0,12,1,2,02/04/2024,2024-02-04,12:40:00
01/24/2024 04:45:00 PM,5.0,3,2,6,6,3,1,1,2,1,2,IMPROPER TURNING/NO SIGNAL,2,2,0.0,0.0,0.0,0.0,0.0,2.0,16,4,1,01/24/2024,2024-01-24,16:45:00
01/25/2024 05:40:00 PM,5.0,5,5,5,5,3,4,3,3,1,4,FAILING TO YIELD RIGHT-OF-WAY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,17,5,1,01/25/2024,2024-01-25,17:40:00
